"Player","Year","Rnd","Pick","Tm","ID","PosPro","Age","CollegeUniv","PosCollege","Ht","Wt","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle"
"Jayron Kearse",2016,7,244,"MIN","KearJa00","S",22,"Clemson","SS",76,216,4.62,31.5,16,124,7.06,NA
"Jeff Driskel",2016,6,207,"SFO","DrisJe00","QB",23,"Louisiana Tech","QB",76,234,4.56,32,NA,122,7.19,4.25
"Jerald Hawkins",2016,4,123,"PIT","HawkJe00","T",22,"LSU","OT",78,305,5.23,23.5,23,100,8.19,4.89
"Jerell Adams",2016,6,184,"NYG","AdamJe01","TE",23,"South Carolina","TE",77,247,4.64,32.5,NA,117,7.05,4.31
"Jihad Ward",2016,2,44,"OAK","WardJi02","DE",22,"Illinois","DT",77,297,5.11,25,20,111,7.38,4.63
"Jimmy Landes",2016,6,210,"DET","LandJi00","LS",24,"Baylor","LS",73,240,4.95,27.5,NA,110,7.05,4.38
"Joe Dahl",2016,5,151,"DET","DahlJo00","G",23,"Washington St.","OT",76,304,5.18,31,28,109,7.64,4.77
"Joe Haeg",2016,5,155,"IND","HaegJo00","T",23,"North Dakota St.","OT",78,304,5.16,27.5,NA,111,7.47,4.47
"Joe Schobert",2016,4,99,"CLE","SchoJo00","OLB",22,"Wisconsin","OLB",73,244,4.76,33.5,22,111,7.11,4.3
"Joe Thuney",2016,3,78,"NWE","ThunJo00","G",23,"North Carolina St.","OT",77,304,4.95,28.5,28,110,7.47,4.54
"Joey Bosa",2016,1,3,"SDG","BosaJo00","DE",21,"Ohio St.","DE",77,269,4.86,32,24,120,6.89,4.21
"John Theus",2016,5,145,"SFO","TheuJo00","T",22,"Georgia","OT",78,313,5.22,28,NA,103,7.9,4.78
"Jonathan Bullard",2016,3,72,"CHI","BullJo00","DT",22,"Florida","DE",75,285,4.93,32,23,116,7.31,4.56
"Jonathan Williams",2016,5,156,"BUF","WillJo07","RB",22,"Arkansas","RB",71,220,4.56,NA,16,NA,NA,NA
"Jordan Howard",2016,5,150,"CHI","HowaJo00","RB",21,"Indiana","RB",72,230,4.57,34,16,122,NA,NA
"Jordan Jenkins",2016,3,83,"NYJ","JenkJo01","OLB",22,"Georgia","OLB",75,259,4.8,36.5,16,121,NA,NA
"Jordan Lucas",2016,6,204,"MIA","LucaJo00","SS",23,"Penn St.","SS",72,201,4.54,NA,NA,NA,NA,NA
"Jordan Payton",2016,5,154,"CLE","PaytJo00","WR",23,"UCLA","WR",73,207,4.47,34.5,NA,121,7.08,4.33
"Josh Doctson",2016,1,22,"WAS","DoctJo00","WR",23,"TCU","WR",74,202,4.5,41,14,131,6.84,4.08
"Josh Forrest",2016,6,190,"LAR","ForrJo00","ILB",24,"Kentucky","ILB",75,249,4.91,30.5,11,118,NA,NA
"Joshua Garnett",2016,1,28,"SFO","GarnJo00","G",22,"Stanford","OG",76,312,5.32,29,30,99,7.62,4.64
"Joshua Perry",2016,4,102,"SDG","PerrJo01","ILB",22,"Ohio St.","ILB",76,254,4.68,33.5,20,124,NA,NA
"Justin Simmons",2016,3,98,"DEN","SimmJu00","FS",22,"Boston Col.","FS",74,202,4.61,40,16,126,6.58,3.85
"Juston Burris",2016,4,118,"NYJ","BurrJu00","CB",23,"North Carolina St.","CB",72,212,4.53,36.5,19,122,7.1,4.4
"Kamalei Correa",2016,2,42,"BAL","CorrKa00","DE",22,"Boise St.","DE",75,243,4.69,33,21,108,NA,NA
"Karl Joseph",2016,1,14,"OAK","JoseKa00","S",22,"West Virginia","SS",70,205,4.57,NA,NA,NA,NA,NA
"Kavon Frazier",2016,6,212,"DAL","FrazKa00","SS",22,"Central Michigan","FS",72,217,4.53,NA,18,NA,NA,NA
"Keanu Neal",2016,1,17,"ATL","NealKe01","SS",21,"Florida","SS",72,211,4.62,38,17,132,7.09,4.38
"Keith Marshall",2016,7,242,"WAS","MarsKe00","RB",22,"Georgia","RB",71,219,4.31,30.5,25,NA,NA,NA
"Kelvin Taylor",2016,6,211,"SFO","TaylKe01","RB",22,"Florida","RB",70,207,4.6,32,15,113,NA,NA
"Kendall Fuller",2016,3,84,"WAS","FullKe00","CB",21,"Virginia Tech","CB",71,187,4.48,NA,15,NA,NA,NA
"Kenneth Dixon",2016,4,134,"BAL","DixoKe00","RB",22,"Louisiana Tech","RB",70,215,4.56,37.5,18,121,6.97,4.28
"Kenny Clark",2016,1,27,"GNB","ClarKe01","DT",20,"UCLA","DT",75,314,5.06,28.5,29,102,NA,4.62
"Kenny Lawler",2016,7,243,"SEA","LawlKe00","WR",22,"California","WR",74,203,4.64,31,NA,111,7.13,4.2
"Kentrell Brothers",2016,5,160,"MIN","BrotKe00","OLB",23,"Missouri","OLB",72,245,4.89,28.5,19,110,6.99,4.11
"Kenyan Drake",2016,3,73,"MIA","DrakKe00","RB",22,"Alabama","RB",73,210,4.45,34.5,10,123,7.04,4.21
"Kevin Dodd",2016,2,33,"TEN","DoddKe00","DE",24,"Clemson","DE",77,277,4.86,NA,NA,NA,NA,NA
"Kevin Hogan",2016,5,162,"KAN","HogaKe00","QB",23,"Stanford","QB",75,218,4.78,32.5,NA,113,6.9,4.31
"Kevon Seymour",2016,6,218,"BUF","SeymKe00","CB",22,"USC","CB",71,186,4.39,35,12,124,NA,4.18
"Kolby Listenbee",2016,6,192,"BUF","ListKo00","WR",22,"TCU","WR",72,197,4.39,35.5,15,129,NA,NA
"Kyle Murphy",2016,6,200,"GNB","MurpKy00","T",22,"Stanford","OT",78,305,5.19,NA,23,NA,NA,NA
"Kyler Fackrell",2016,3,88,"GNB","FackKy00","OLB",24,"Utah St.","OLB",77,245,4.72,34.5,15,121,NA,NA
"Laquon Treadwell",2016,1,23,"MIN","TreaLa00","WR",21,"Mississippi","WR",74,221,4.52,33,12,117,NA,NA
"Laremy Tunsil",2016,1,13,"MIA","TunsLa00","T",22,"Mississippi","OT",77,310,5.23,NA,NA,NA,NA,NA
"Le'Raven Clark",2016,3,82,"IND","ClarLe01","T",23,"Texas Tech","OT",77,316,5.16,NA,18,NA,NA,NA
"Leonard Floyd",2016,1,9,"CHI","FloyLe00","OLB",23,"Georgia","OLB",78,244,4.6,39.5,NA,127,NA,NA
"Leonte Carroo",2016,3,86,"MIA","CarrLe00","WR",22,"Rutgers","WR",72,211,4.5,35.5,14,120,NA,NA
"Mackensie Alexander",2016,2,54,"MIN","AlexMa01","CB",22,"Clemson","CB",70,190,4.43,NA,11,NA,NA,NA
"Malcolm Mitchell",2016,4,112,"NWE","MitcMa01","WR",24,"Georgia","WR",72,198,4.45,36,15,129,6.94,4.34
"Maliek Collins",2016,3,67,"DAL","CollMa00","DT",21,"Nebraska","DT",74,311,5.03,29.5,25,109,7.53,4.52
"Matt Judon",2016,5,146,"BAL","JudoMa00","DE",24,"Grand Valley St.","DE",75,275,4.73,35,30,109,7.67,4.52
"Maurice Canady",2016,6,209,"BAL","CanaMa00","CB",22,"Virginia","CB",73,193,4.49,38,16,124,7.03,4.09
"Max Tuerk",2016,3,66,"SDG","TuerMa00","C",22,"USC","C",77,298,5.12,NA,22,NA,NA,NA
"Michael Thomas",2016,2,47,"NOR","ThomMi05","WR",23,"Ohio St.","WR",75,212,4.57,35,18,126,6.8,4.13
"Miles Killebrew",2016,4,111,"DET","KillMi00","SS",23,"Southern Utah","SS",74,217,4.65,38,22,127,6.93,4.18
"Myles Jack",2016,2,36,"JAX","JackMy00","OLB",21,"UCLA","OLB",73,245,4.56,NA,19,NA,NA,NA
"Nate Sudfeld",2016,6,187,"WAS","SudfNa00","QB",22,"Indiana","QB",78,234,5.02,29,NA,105,NA,NA
"Nick Kwiatkoski",2016,4,113,"CHI","KwiaNi00","ILB",23,"West Virginia","ILB",74,243,4.73,32,19,120,7.16,4.22
"Nick Martin",2016,2,50,"HOU","MartNi00","G",23,"Notre Dame","C",76,299,5.22,28,28,97,7.57,4.72
"Nick Vannett",2016,3,94,"SEA","VannNi00","TE",23,"Ohio St.","TE",78,257,4.76,30.5,17,111,7.05,4.2
"Nick Vigil",2016,3,87,"CIN","VigiNi00","ILB",23,"Utah St.","ILB",74,239,4.72,31.5,NA,115,6.73,4
"Noah Spence",2016,2,39,"TAM","SpenNo00","DE",22,"East. Kentucky","DE",74,251,4.8,35,25,121,7.21,4.35
"Parker Ehinger",2016,4,105,"KAN","EhinPa00","G",23,"Cincinnati","OT",78,310,5.26,27.5,NA,97,NA,NA
"Paul Perkins",2016,5,149,"NYG","PerkPa00","RB",21,"UCLA","RB",70,208,4.54,32,19,124,NA,NA
"Paxton Lynch",2016,1,26,"DEN","LyncPa00","QB",22,"Memphis","QB",79,244,4.86,36,NA,118,7.14,4.26
"Pharoh Cooper",2016,4,117,"LAR","CoopPh00","WR",21,"South Carolina","WR",71,203,4.52,31,15,115,NA,NA
"Quinton Jefferson",2016,5,147,"SEA","JeffQu00","DT",23,"Maryland","DT",76,291,4.95,29,24,NA,7.95,4.37
"Rashard Higgins",2016,5,172,"CLE","HiggRa00","WR",21,"Colorado St.","WR",73,196,4.64,32,13,116,NA,NA
"Rashard Robinson",2016,4,133,"SFO","RobiRa00","CB",21,"LSU","CB",73,171,4.49,35.5,NA,121,NA,NA
"Rees Odhiambo",2016,3,97,"SEA","OdhiRe00","G",23,"Boise St.","OT",76,314,5.17,NA,23,NA,NA,NA
"Reggie Ragland",2016,2,41,"BUF","RaglRe00","ILB",22,"Alabama","ILB",73,247,4.72,31.5,NA,116,NA,4.28
"Ricardo Louis",2016,4,114,"CLE","LouiRi00","WR",22,"Auburn","WR",74,215,4.43,38,18,132,NA,NA
"Riley Dixon",2016,7,228,"DEN","DixoRi00","P",23,"Syracuse","P",76,221,5.04,NA,NA,NA,NA,NA
"Robert Nkemdiche",2016,1,29,"ARI","NkemRo00","DT",21,"Mississippi","DT",75,294,4.87,35,28,116,NA,NA
"Roberto Aguayo",2016,2,59,"TAM","AguaRo00","K",22,"Florida St.","K",72,207,4.96,NA,NA,NA,NA,NA
"Ronald Blair",2016,5,142,"SFO","BlaiRo00","DE",23,"Appalachian St.","DE",74,284,5.15,30,32,113,7.95,4.53
"Ronnie Stanley",2016,1,6,"BAL","StanRo00","T",22,"Notre Dame","OT",78,312,5.2,28.5,NA,NA,8.03,4.9
"Ryan Kelly",2016,1,18,"IND","KellRy00","C",23,"Alabama","C",76,311,5.03,30,26,103,7.58,4.59
"Ryan Smith",2016,4,108,"TAM","SmitRy00","CB",23,"North Carolina Central","CB",71,189,4.47,36,18,122,6.88,4.09
"Sean Davis",2016,2,58,"PIT","DaviSe00","CB",22,"Maryland","CB",73,201,4.46,37.5,21,126,6.64,3.97
"Sebastian Tretola",2016,6,193,"TEN","TretSe00","G",24,"Arkansas","OG",76,314,5.45,23.5,22,90,7.94,5.02
"Shaq Lawson",2016,1,19,"BUF","LawsSh00","DE",22,"Clemson","DE",75,269,4.7,33,NA,120,7.16,4.21
"Sheldon Day",2016,4,103,"JAX","DayxSh00","DT",22,"Notre Dame","DT",73,293,5.07,30,21,102,7.44,4.5
"Sheldon Rankins",2016,1,12,"NOR","RankSh00","DT",22,"Louisville","DT",73,299,5.03,34.5,28,118,7.44,4.59
"Shilique Calhoun",2016,3,75,"OAK","CalhSh00","DE",24,"Michigan St.","DE",76,251,4.82,35,23,115,6.97,4.25
"Shon Coleman",2016,3,76,"CLE","ColeSh00","T",24,"Auburn","OT",77,307,5.18,NA,22,NA,NA,NA
"Spencer Drango",2016,5,168,"CLE","DranSp00","G",23,"Baylor","OT",78,315,5.27,27,30,100,7.88,4.66
"Stephen Weatherly",2016,7,227,"MIN","WeatSt00","OLB",22,"Vanderbilt","OLB",76,267,4.61,31,23,117,NA,NA
